feature_id,function,source_workbook_label,legacy_workflow,source_feature_cell,workbook_sheets,workbook_recorded_status,workbook_caveats,records,rules,user_workflow,code_refs,code_paths,code_status,runtime_status,gap,acceptance_ids,existing_test_paths,phase,dependencies
F01,Navigation and instructions,Navigation and instructions,"W07,W13",FEATURE_MAP!A5:J5,INDEX; README; FEATURE_MAP,IMPLEMENTED - baseline verified,"INDEX provides navigation/purpose/review columns; the planned per-sheet owner, cadence and dependency registry is not fully structured.",D01; D17,N01,"User navigates to input, exception and report views with return/context links",C01,packages/domain-contracts/src/revOps.ts; packages/case-repository/src/revOpsGateway.ts; app/src/workspaces/RevOps.tsx,PARTIAL_REUSE,NOT_RERUN,Workbook navigation exists; application-wide role/task navigation and metric drill-down require design,AT01,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts,P0,
F02,Patient and encounter identities,Patient and encounter identities,"W01,W02",FEATURE_MAP!A6:J6,PATIENTS; ENCOUNTERS,"IMPLEMENTED: unique IDs, admission detail and editable admission-age snapshots",Admission-age snapshots are editable synthetic inputs; source identity verification and immutable correction history are not established by the workbook.,D02; D03; D19,N02,"Admissions owner links identity, records/readmits encounter and reviews corrections",C05,packages/domain-contracts/src/episode.ts; packages/domain-contracts/src/utilizationReview.ts; packages/case-repository/src/episodePersistenceGateway.ts,PARTIAL_REUSE,NOT_RERUN,"No restored admission-detail adapter, admission snapshot UI or event-to-RevOps join",AT02,tests/integration/s2-episode-persistence.test.ts; tests/unit/episode-utilization-contracts.test.ts,P1,X01; X02
F03,Admissions geography,Admissions geography,W01,FEATURE_MAP!A7:J7,ENCOUNTERS; STATE_MIX,IMPLEMENTED - baseline verified,"STATE_MIX explicitly reports admissions, patient-days and patient-day share; admissions share is not a separate output.",D03; D17,N03,Operations reviews state-at-admission counts including Unknown,C05,packages/domain-contracts/src/episode.ts; packages/domain-contracts/src/utilizationReview.ts; packages/case-repository/src/episodePersistenceGateway.ts,ADJACENT_ONLY,NOT_RERUN,Geographic admission snapshot and report absent,AT03,tests/integration/s2-episode-persistence.test.ts; tests/unit/episode-utilization-contracts.test.ts,P1,F02
F04,Daily census and patient-days,Daily census and patient-days,W02,FEATURE_MAP!A8:J8,INPATIENT; ENCOUNTERS; COVERAGE,IMPLEMENTED - baseline verified,"Encounter/census/service-ledger reconciliation is implemented, but service-ledger rows remain separately maintained; changing an encounter date does not regenerate its service rows.",D03; D04; D19,N04; N05,Census owner compares observed daily count with episode-derived count and resolves differences,C01; C02; C05,packages/domain-contracts/src/revOps.ts; packages/case-repository/src/revOpsGateway.ts; app/src/workspaces/RevOps.tsx; packages/rev-ops-service/src/index.ts; packages/rev-ops-service/src/reconciliation.ts; packages/domain-contracts/src/episode.ts; packages/domain-contracts/src/utilizationReview.ts; packages/case-repository/src/episodePersistenceGateway.ts,PARTIAL_REUSE,NOT_RERUN,Current count source is aggregate; discharge/transfer rules and event projection unresolved,AT04; AT35,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts; tests/integration/s2-episode-persistence.test.ts; tests/unit/episode-utilization-contracts.test.ts,P1,F02; X02; X03
F05,"Monthly admissions, discharges, ADC and occupancy","Monthly admissions, discharges, ADC and occupancy","W02,W13",FEATURE_MAP!A9:J9,MONTHLY; DASHBOARD; SETUP; COVERAGE,IMPLEMENTED - baseline verified,,D03; D04; D17,N06,"Leader reviews admissions, discharges, weighted ADC and capacity-adjusted occupancy",C02; C05,packages/rev-ops-service/src/index.ts; packages/rev-ops-service/src/reconciliation.ts; packages/domain-contracts/src/episode.ts; packages/domain-contracts/src/utilizationReview.ts; packages/case-repository/src/episodePersistenceGateway.ts,PARTIAL_REUSE,NOT_RERUN,Aggregate comparisons exist; capacity history and full census statistics absent,AT05,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts; tests/integration/s2-episode-persistence.test.ts; tests/unit/episode-utilization-contracts.test.ts,P1,F04
F06,Length of stay,Length of stay,"W02,W05",FEATURE_MAP!A10:J10,ENCOUNTERS; MONTHLY,IMPLEMENTED - baseline verified,,D03; D17,N07,Operations reviews completed discharge cohort separately from ongoing stays,C05,packages/domain-contracts/src/episode.ts; packages/domain-contracts/src/utilizationReview.ts; packages/case-repository/src/episodePersistenceGateway.ts,ADJACENT_ONLY,NOT_RERUN,Completed-cohort ALOS and open-stay views absent,AT06,tests/integration/s2-episode-persistence.test.ts; tests/unit/episode-utilization-contracts.test.ts,P1,F02; F04
F07,Patient-month revenue view,Patient-month revenue view,W05,FEATURE_MAP!A11:J11,SERVICE_LEDGER; ENCOUNTERS; MONTHLY,IMPLEMENTED - baseline verified,"Amounts are modeled allowances from fictional contracts, not claim-adjudicated or recognized revenue; encounter corrections require corresponding service-ledger maintenance.",D06; D07; D08,N08; N12,Finance reviews encounter-month service contribution and modeled allowance,C05; C06,packages/domain-contracts/src/episode.ts; packages/domain-contracts/src/utilizationReview.ts; packages/case-repository/src/episodePersistenceGateway.ts; packages/domain-contracts/src/benefits.ts; packages/benefits-service/src/benefitsCommandService.ts,ADJACENT_ONLY,NOT_RERUN,Service valuation and patient-month estimate not in RevOps; workbook detail does not automatically rebuild after encounter edits,AT07; AT35,tests/integration/s2-episode-persistence.test.ts; tests/unit/episode-utilization-contracts.test.ts; tests/integration/benefits-command-service.test.ts; tests/workflow/benefits.test.ts,P3,F02; F04; F10
F08,Benefit day types and interrupted stays,Benefit day types and interrupted stays,"W05,W06",FEATURE_MAP!A12:J12,ENCOUNTERS; SERVICE_LEDGER; BENEFIT_REVIEW; BENEFITS_REFERENCE,PARTIAL: illustrative bands and episode fields; actual history/interruption rules unresolved,"Actual benefit history, reserve-day usage and interrupted-stay adjudication remain unresolved; synthetic bands and episode fields are illustrative.",D03; D09; D23,N09; N10,Qualified benefits/UR reviewer confirms prior benefit history and interruption linkage,C05; C06,packages/domain-contracts/src/episode.ts; packages/domain-contracts/src/utilizationReview.ts; packages/case-repository/src/episodePersistenceGateway.ts; packages/domain-contracts/src/benefits.ts; packages/benefits-service/src/benefitsCommandService.ts,ADJACENT_ONLY,NOT_RERUN,Workbook bands illustrative; actual benefit history and interruption applicability unresolved,AT08,tests/integration/s2-episode-persistence.test.ts; tests/unit/episode-utilization-contracts.test.ts; tests/integration/benefits-command-service.test.ts; tests/workflow/benefits.test.ts,P3,F02; F30
F09,Indigent and charity distinctions,Indigent and charity distinctions,"W05,W06",FEATURE_MAP!A13:J13,ENCOUNTERS; ASSISTANCE; SERVICE_LEDGER,"PARTIAL: gross, adjustment memo and patient-share fields restored; actual patient share/evidence Unknown","Gross, signed charity-adjustment memo and supplied patient-share fields exist; actual patient liability, assistance policy and supporting evidence remain Unknown.",D08; D10,N11,"Finance reviews assistance classification, signed adjustments and evidence for patient share",C06,packages/domain-contracts/src/benefits.ts; packages/benefits-service/src/benefitsCommandService.ts,ADJACENT_ONLY,NOT_RERUN,Workbook fields exist; verified charity/eligibility/patient liability calculation absent,AT09,tests/integration/benefits-command-service.test.ts; tests/workflow/benefits.test.ts,P3,F07; F08
F10,Extensible payer contracts and methods,Extensible payer contracts and methods,W07,FEATURE_MAP!A14:J14,PAYERS; SERVICES; CONTRACT_RATES; PAYER_ACTIVITY; SETUP,IMPLEMENTED - baseline verified,Contract rows are extensible and effective dated; applied rates are fictional. Complete facility-specific Medicare/Medicaid pricing and commercial contract adjudication are not implemented.,D01; D07; D23,N12; N13; N14,"Finance adds payer/plan/service contract version, resolves overlap and approves applicability",C01; C04,packages/domain-contracts/src/revOps.ts; packages/case-repository/src/revOpsGateway.ts; app/src/workspaces/RevOps.tsx; packages/rev-ops-service/src/customFields.ts; app/src/workspaces/RevOpsFields.tsx,ADJACENT_ONLY,NOT_RERUN,Payer identity differs from contract and payment method; no runtime rate engine,AT10; AT36,tests/unit/rev-ops-calendar.test.ts; tests/unit/rev-ops-month-close.test.ts; tests/integration/rev-ops.test.ts; tests/unit/rev-ops-xlsx.test.ts; tests/unit/rev-ops-fields.test.ts,P3,X01; F26; F30
