rule_id,purpose,workbook_catalog_cell,feature_ids,record_ids,algorithm_text,guardrails,definition_status,worked_example_count,worked_example_cells,current_evidence,unresolved_distinction,acceptance_ids
N01,Navigation,FORMULA_CATALOG!A5:D5,F01,D01; D17,"Specification: =HYPERLINK(""#'ENCOUNTERS'!A1"",""Admissions and encounters"")",Return link points to INDEX!A1; test every link in desktop Excel.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT01
N02,Exact patient name lookup,FORMULA_CATALOG!A6:D6,F02,D02; D03; D19,"Specification: =IF([@PatientID]="""","""",IFERROR(INDEX(tPatients[CharacterName],MATCH([@PatientID],tPatients[PatientID],0)),""UNKNOWN PATIENT""))",Names are labels; joins use immutable IDs. Independently reject duplicate master keys.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT02
N03,Admission state count,FORMULA_CATALOG!A7:D7,F03,D03; D17,"Specification: =COUNTIFS(tEnc[AdmitDate],"">=""&MonthStart,tEnc[AdmitDate],""<""&EDATE(MonthStart,1),tEnc[AdmissionState],SelectedState,tEnc[State],""VALID"")",Report Other/Unknown explicitly and reconcile to admissions total.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT03
N04,Daily census,FORMULA_CATALOG!A8:D8,F04,D03; D04; D19,"Specification: =IF(OR(COUNT(Opening,Admits,Discharges)<>3,MIN(Opening,Admits,Discharges)<0,Opening+Admits-Discharges<0),"""",Opening+Admits-Discharges)",Owning state cell explains missing/invalid/impossible cases. Do not floor impossible discharge to zero.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT04
N05,Encounter days in reporting period,FORMULA_CATALOG!A9:D9,F04,D03; D04; D19,"Specification: =IF([@State]<>""VALID"","""",MAX(0,MIN(IF([@DischargeDate]="""",ReportCutoff+1,[@DischargeDate]),PeriodEnd+1,ReportCutoff+1)-MAX([@AdmitDate],PeriodStart)))","Admission included; discharge excluded. Missing discharge is an open stay, not a forecasted discharge. Date-only midnight model; same-day stay has zero midnight days.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,3,EXAMPLES!A5:H5; EXAMPLES!A33:H33; EXAMPLES!A34:H34,Cached worked-example result only where a row exists; not all acceptance covered,Workbook date occupancy differs from inclusive UR authorization; event timestamp/transfer policy still requires approval.,AT04
N06,ADC / occupancy,FORMULA_CATALOG!A10:D10,F05; F25,D03; D04; D17; D08; D11; D13; D15; D16; D20,Specification: ADC = PatientDays / CalendarDays; Occupancy = PatientDays / LicensedBedDays,Gated on complete scope. With changing bed capacity use sum of daily licensed beds; zero denominator returns blank plus reason.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,2,EXAMPLES!A8:H8; EXAMPLES!A9:H9,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT05; AT25
N07,Discharge-cohort ALOS,FORMULA_CATALOG!A11:D11,F06,D03; D17,"Specification: =IF(DischargeCount=0,"""",CompletedStayDays/DischargeCount)","CompletedStayDays sums full LOS for discharges in period, including prior-month admissions. Historical patient-days/discharges proxy remains distinctly labeled if retained.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,2,EXAMPLES!A6:H6; EXAMPLES!A7:H7,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT06
N08,Patient-month allowance,FORMULA_CATALOG!A12:D12,F07,D06; D07; D08,"Specification: =SUMIFS(tActivity[ModeledAllowed],tActivity[EncounterID],SelectedEncounter,tActivity[ServiceDate],"">=""&MonthStart,tActivity[ServiceDate],""<""&EDATE(MonthStart,1),tActivity[State],""READY"")",Display only after owning month/encounter scope completeness gate passes; otherwise do not show a misleading partial total.,CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT07
N09,Benefit band allocation,FORMULA_CATALOG!A13:D13,F08,D03; D09; D23,"Specification: BandDays = MAX(0, MIN(LastVerifiedBenefitDay,BandEnd)-MAX(FirstVerifiedBenefitDay,BandStart)+1)","Requires verified benefit-period day positions and applicable benefit rule, not calendar LOS alone. Synthetic [59,64] against [1,60],[61,90],[91,150] gives 2,4,0.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,3,EXAMPLES!A16:H16; EXAMPLES!A17:H17; EXAMPLES!A18:H18,Cached worked-example result only where a row exists; not all acceptance covered,"Check exact grain, source authority, missingness, version and independent expected result.",AT08
N10,Interrupted stay control,FORMULA_CATALOG!A14:D14,F08,D03; D09; D23,Specification: GapDays = NewAdmitDate - PriorDischargeDate; EpisodeID = reviewed episode-link input,"Flag potential interruption using the selected, sourced rule. Do not apply a guessed gap threshold or reset benefit/day-adjustment clocks solely from this expression.",CANDIDATE_TRANSLATION_NOT_UNIVERSAL_HOSPITAL_RULE,0,,Cached worked-example result only where a row exists; not all acceptance covered,Interruption gap is not approved benefit-episode logic.,AT08
