role_key,capability,resource,action,scope,phi_access,default_decision,conditions,notes
ADMISSIONS_COORDINATOR,episode.admissionHandoff.create,Admission handoff,create,assigned organization/facility/program,minimum necessary,ALLOW,Authenticated actor; accepted case; facility/program assignment; idempotency key; expected case version,Creates episode handoff; cannot decide authorization or discharge.
ADMISSIONS_COORDINATOR,episode.readOperational,Episode summary,read,assigned cases and receiving scope,minimum necessary,ALLOW,Purpose-of-use=operations; subject relationship or facility assignment,No population benchmark access.
ADMISSIONS_COORDINATOR,ur.queue.read,UR queue,read,none,none,DENY,Not granted by default,Avoid expanding intake role into post-admission UR.
UR_SPECIALIST,episode.readOperational,Episode and episode-day details,read,assigned organization/facility/program/unit,PHI operational,ALLOW,Purpose-of-use=treatment/payment/operations as configured; scoped assignment,May inspect provenance and correction history.
UR_SPECIALIST,ur.review.record,Authorization review,create/correct,assigned organization/facility/program/unit,PHI operational,ALLOW,Idempotency key; expected aggregate version; source provenance; human attestation,Records payer/human decision; does not autonomously decide coverage.
UR_SPECIALIST,ur.authorizationDay.read,Episode-day authorization state,read,assigned organization/facility/program/unit,PHI operational,ALLOW,Scope predicate enforced server-side,Derived state is explainable and traceable.
UR_SPECIALIST,ur.gap.manage,Documentation gap,create/update/resolve/correct,assigned organization/facility/program/unit,PHI operational,ALLOW,Gap type from registry; owner/reviewer rules; correction reason for material changes,Cannot alter source clinical note.
UR_SPECIALIST,ur.queue.read,Server-owned UR queue,read,assigned organization/facility/program/unit,PHI operational,ALLOW,Cursor pagination; server-owned sort; freshness returned,No client override of computed risk priority.
UR_SPECIALIST,ur.assignment.manage,UR queue assignment,claim/reassign/release,assigned organization/facility/program/unit,PHI operational,ALLOW,Reassignment may require manager capability; optimistic concurrency,"Assignment is operational, not a coverage decision."
UR_SPECIALIST,analytics.authorizationRisk.read,Authorization-risk aggregate,read,assigned organization/facility/program/unit,aggregate only,ALLOW,Minimum-cell suppression; metric-version and freshness metadata,Drill-through only to authorized operational scope.
UR_MANAGER,ur.queue.read,Server-owned UR queue,read,managed organization/facility/program/unit,PHI operational,ALLOW,Manager scope; audit logged,"Can inspect workload, risk reasons, and stale items."
UR_MANAGER,ur.assignment.manage,UR queue assignment,reassign,managed organization/facility/program/unit,PHI operational,ALLOW,Reason required; expected projection version,Cannot change risk score directly.
UR_MANAGER,ur.review.correct,Authorization review,correct/supersede,managed organization/facility/program/unit,PHI operational,ALLOW,Correction reason; superseded event reference; elevated audit,Original remains immutable.
UR_MANAGER,metric.quality.review,Metric/data-quality issue,review/attest,managed organization/facility/program/unit,aggregate or limited PHI,ALLOW,Reviewer independence when policy requires,Attestation does not rewrite source facts.
CLINICIAN_REVIEWER,episode.clinical.read,Episode clinical summary,read,assigned episodes/facility/program/unit,PHI operational,ALLOW,Clinical relationship; purpose-of-use; minimum necessary,No bulk population export.
CLINICIAN_REVIEWER,ur.gap.respond,Documentation gap,respond/attest,assigned episodes,PHI operational,ALLOW,Human-authored response; source note reference; no generated attestation,Does not permit autonomous clinical decision-making.
CLINICIAN_REVIEWER,authorization.support.read,Authorization support packet,read,assigned episodes,PHI operational,ALLOW,Minimum necessary,May supply evidence but not fabricate payer decisions.
HIM_SPECIALIST,ur.gap.manage,Documentation gap,create/update/resolve,assigned organization/facility/program/unit,PHI operational,ALLOW,Document-governance scope; provenance required,No authorization decision rights by default.
REGISTERED_NURSE,episode.care-context.read,Episode care context,read,assigned unit/episodes,PHI operational,ALLOW,Care-team relationship,No aggregate finance or benchmark access.
REGISTERED_NURSE,ur.gap.respond,Documentation gap,respond,assigned episodes,PHI operational,ALLOW,Human confirmation and source note reference,No auto-completion from inferred documentation.
PROGRAM_DIRECTOR,operations.program.read,Program operations aggregate,read,managed organization/facility/program,aggregate; authorized drill-through,ALLOW,Suppression and metric eligibility enforced,Episode drill-through requires separate PHI capability.
PROGRAM_DIRECTOR,ur.queue.summary.read,UR workload summary,read,managed organization/facility/program,aggregate only,ALLOW,No patient identifiers in summary response,May view counts by reason and age bucket.
FACILITY_EXECUTIVE,analytics.executive.read,Executive intelligence,read,managed organization/facility,de-identified aggregate,ALLOW,Minimum-cell suppression; no person tokens; approved metric definitions,Display No measurements found until eligible data exists.
FACILITY_EXECUTIVE,episode.readOperational,Episode-level PHI,read,none,none,DENY,Requires separately approved operational role,Executive role alone is not a blanket PHI grant.
COMPLIANCE_AUDITOR,audit.provenance.read,Immutable audit/provenance,read,approved organization/facility/program/time range,minimum necessary,ALLOW,Time-bound purpose grant; access itself audited,Export restricted and watermarked where supported.
COMPLIANCE_AUDITOR,record.mutate,Operational record,create/update/delete,none,none,DENY,Read-only by design,"May file a quality issue, not rewrite records."
ANALYTICS_STEWARD,metric.definition.manage,Metric definition registry,propose/validate/publish/retire,governed organization or platform scope,de-identified only,ALLOW,Segregation of duties; versioned approval workflow; publication audit,Cannot alter source operational facts.
ANALYTICS_STEWARD,analytics.quality.manage,Data-quality issue,open/classify/resolve,governed organization/facility/program,de-identified; limited lineage IDs,ALLOW,Resolution evidence and reviewer required,Does not grant episode PHI by default.
ORGANIZATION_ADMIN,scope.membership.manage,Role and scope assignments,manage,own organization,identity/admin data,ALLOW,Least-privilege templates; elevated audit; cannot self-escalate protected roles,No automatic episode PHI access.
ORGANIZATION_ADMIN,analytics.organization.read,Organization aggregate,read,own organization,de-identified aggregate,ALLOW,Suppression and metric approval enforced,Cross-organization data denied.
SYSTEM_ADMIN,platform.configuration.manage,Platform configuration,manage,platform,no routine PHI,ALLOW,Break-glass separately controlled; admin action audit,Infrastructure administration is separated from clinical access.
SYSTEM_ADMIN,episode.readOperational,Episode PHI,read,none,none,DENY,Requires explicit time-bound break-glass grant,No implicit superuser browsing.
INTEGRATION_OPERATOR,ingestion.delivery.manage,Adapter delivery metadata,read/retry/quarantine,configured source/tenant,no payload PHI by default,ALLOW,Payload access separately gated; retry is idempotent; reason logged,Cannot correct clinical or payer facts.
INTEGRATION_OPERATOR,event.payload.read,Governed event payload,read,none,none,DENY,Explicit incident grant required,"Operational telemetry should expose identifiers/hashes, not raw payload."
CROSS_ORG_ANALYST,crossOrg.aggregate.read,Cross-organization benchmark,read,approved cohort only,de-identified aggregate,DENY,"Feature disabled until governance charter, cohort eligibility, contribution rules, suppression, contracts, and privacy review are approved",No silent tenant aggregation.
AGENCY_REPORTING_SPECIALIST,export.prepare,Agency export,prepare/validate,approved reporting scope,de-identified or minimum necessary approved fields,DENY,"Disabled until governing-agency specification, legal basis, data-use approval, certification, and release workflow exist",Preparation and release are separate capabilities.
AGENCY_REPORTING_APPROVER,export.release,Agency export,approve/release,approved reporting scope,approved export fields only,DENY,Two-person review; immutable manifest; checksum; submission receipt; revocation/correction plan,No autonomous submission.
SERVICE_PRINCIPAL_UR_PROJECTOR,projection.ur.write,UR operational projections,upsert,single tenant partition per job,service data,ALLOW,mTLS/workload identity; event schema validated; projection version; replay-safe,Not usable by browser or human tokens.
SERVICE_PRINCIPAL_ANALYTICS,analytics.mart.write,De-identified analytics mart,upsert,single tenant partition per job,de-identified only,ALLOW,Workload identity; allow-listed transformation; lineage; row-count and privacy checks,Cannot query PHI operational tables except approved read view.
SERVICE_PRINCIPAL_API,operational.command.execute,Operational services,execute,actor-authorized tenant/scope,minimum necessary,ALLOW,"Propagates actor, purpose, tenant, correlation and idempotency; database role is non-bypass RLS",Browser never receives service credentials.
