rule_code,jurisdiction,age_band,pathway_or_action,potential_authorized_actor,baseline_behavior,production_status,official_source
LA_MINOR_PARENTAL_ADMISSION,Louisiana,UNDER_18,parental admission application,parent/tutor/caretaker under applicable law,Route to facility director review; preserve minor position; require source/authority evidence,RESEARCH_BASELINE_REQUIRES_LEGAL_APPROVAL,https://legis.la.gov/legis/Law.aspx?d=72956
LA_MINOR_OBJECTS_16_PLUS,Louisiana,16-17,objection to parental admission,minor,Record objection and route statutory/facility process; do not hide it,RESEARCH_BASELINE_REQUIRES_LEGAL_APPROVAL,https://legis.la.gov/legis/Law.aspx?d=72958
LA_MINOR_PHYSICIAN_CERTIFICATE,Louisiana,UNDER_18,continued parental-pathway admission,licensed physician,Require physician certificate workflow where applicable,RESEARCH_BASELINE_REQUIRES_LEGAL_APPROVAL,https://legis.la.gov/legis/Law.aspx?d=72959
LA_MINOR_VOLUNTARY_16_PLUS,Louisiana,16-17,voluntary admission,minor + admitting physician review,Minor may initiate; authorized physician determines suitability/knowing voluntary capacity,RESEARCH_BASELINE_REQUIRES_LEGAL_APPROVAL,https://legis.la.gov/legis/Law.aspx?d=72960
LA_MINOR_INFORMAL_VOLUNTARY,Louisiana,16-17,informal voluntary admission,minor/facility director,Route to facility policy and statutory rights workflow,RESEARCH_BASELINE_REQUIRES_LEGAL_APPROVAL,https://legis.la.gov/legis/Law.aspx?d=72964
LA_MINOR_FORMAL_VOLUNTARY,Louisiana,16-17,formal voluntary admission,minor + authorized admitting role,Require written request and preserve discharge request rights,RESEARCH_BASELINE_REQUIRES_LEGAL_APPROVAL,https://legis.la.gov/legis/Law.aspx?d=72965
LA_MINOR_TRANSFER,Louisiana,UNDER_18,transfer,varies by admission status,Determine authority from exact admission status; do not use guardian-only shortcut,RESEARCH_BASELINE_REQUIRES_LEGAL_APPROVAL,https://legis.la.gov/legis/Law.aspx?d=72967
LA_MINOR_PEC,Louisiana,UNDER_18,first emergency certificate,authorized clinician under current law,"Record examination, findings, certificate, willingness/unable state",RESEARCH_BASELINE_REQUIRES_LEGAL_APPROVAL,https://legis.la.gov/legis/Law.aspx?d=72918
LA_MINOR_SECOND_EXAM,Louisiana,UNDER_18,independent second examination,authorized coroner/deputy/physician pathway,Track independent examination and continuation/release decision,RESEARCH_BASELINE_REQUIRES_LEGAL_APPROVAL,https://legis.la.gov/legis/Law.aspx?d=72919
LA_MINOR_EMERGENCY_TRANSPORT,Louisiana,UNDER_18,emergency transport,peace officer/ambulance categories under current law,Apply approved transport profile and capture accompaniment separately,RESEARCH_BASELINE_REQUIRES_LEGAL_APPROVAL,https://legis.la.gov/legis/Law.aspx?d=72923
LA_MINOR_OPC,Louisiana,UNDER_18,protective custody,coroner/judge/law enforcement roles under current law,"Track order, execution, delivery, examination, and resulting path",RESEARCH_BASELINE_REQUIRES_LEGAL_APPROVAL,https://legis.la.gov/legis/Law.aspx?d=72928
HIPAA_MINOR_PERSONAL_REP,Federal/State interaction,UNDER_18,HIPAA access/disclosure,parent/guardian often but not always,"Evaluate service consent, confidentiality, endangerment, and state-law exceptions",RESEARCH_BASELINE_REQUIRES_PRIVACY_APPROVAL,https://www.hhs.gov/hipaa/for-professionals/privacy/guidance/personal-representatives/index.html
PART2_MINOR_CONSENT,Federal/State interaction,UNDER_18,42 CFR Part 2 disclosure,minor and/or authorized adult depending on state treatment consent,Use separate disclosure rule; never infer from admission signer alone,RESEARCH_BASELINE_REQUIRES_PRIVACY_LEGAL_APPROVAL,https://www.ecfr.gov/current/title-42/chapter-I/subchapter-A/part-2/subpart-B/section-2.14
